ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
793,USA,150000.0,Software Developer,No platform reported
795,Canada,123578.0,Software Developer,Microsoft Azure
796,Netherlands,161109.0,Software Developer,Microsoft Azure
797,Venezuela,15600.0,Software Developer,Amazon Web Services (AWS)
797,Venezuela,15600.0,Software Developer,Firebase
800,Finland,46185.0,Software Developer,Google Cloud
803,Uk,63694.0,Software Developer,No platform reported
804,Uk,73885.0,Software Developer,Google Cloud
804,Uk,73885.0,Software Developer,OpenShift
806,USA,145000.0,Research & Education,Amazon Web Services (AWS)
806,USA,145000.0,Research & Education,Google Cloud
806,USA,145000.0,Research & Education,Hetzner
808,USA,92000.0,Software Developer,Cloudflare
808,USA,92000.0,Software Developer,Digital Ocean
808,USA,92000.0,Software Developer,Microsoft Azure
809,Uk,80254.0,Software Developer,No platform reported
811,USA,118106.0,Management,Microsoft Azure
812,USA,200000.0,Software Developer,Amazon Web Services (AWS)
816,Italy,32222.0,Software Developer,Amazon Web Services (AWS)
816,Italy,32222.0,Software Developer,Cloudflare
816,Italy,32222.0,Software Developer,Digital Ocean
816,Italy,32222.0,Software Developer,Hetzner
816,Italy,32222.0,Software Developer,"Linode, now Akamai"
816,Italy,32222.0,Software Developer,Microsoft Azure
817,USA,110000.0,Software Developer,Amazon Web Services (AWS)
817,USA,110000.0,Software Developer,Cloudflare
818,Sweden,76307.0,Software Developer,No platform reported
819,Nicaragua,72600.0,Data & AI,No platform reported
822,Cyprus,161109.0,Management,Digital Ocean
824,USA,215000.0,Other,Google Cloud
824,USA,215000.0,Other,Microsoft Azure
825,USA,145000.0,Software Developer,Amazon Web Services (AWS)
825,USA,145000.0,Software Developer,Cloudflare
825,USA,145000.0,Software Developer,Digital Ocean
825,USA,145000.0,Software Developer,Firebase
825,USA,145000.0,Software Developer,Fly.io
825,USA,145000.0,Software Developer,Google Cloud
825,USA,145000.0,Software Developer,Heroku
825,USA,145000.0,Software Developer,Render
825,USA,145000.0,Software Developer,Supabase
825,USA,145000.0,Software Developer,Vercel
826,India,41872.0,Software Developer,Amazon Web Services (AWS)
826,India,41872.0,Software Developer,Cloudflare
828,Czech Republic,3040.0,Research & Education,Amazon Web Services (AWS)
830,USA,195000.0,Management,Amazon Web Services (AWS)
831,USA,165000.0,Software Developer,No platform reported
833,Netherlands,36518.0,Software Developer,No platform reported
834,South Africa,75332.0,Data & AI,Amazon Web Services (AWS)
834,South Africa,75332.0,Data & AI,Google Cloud
834,South Africa,75332.0,Data & AI,Microsoft Azure
835,Pakistan,12921.0,Software Developer,Microsoft Azure
836,Ukraine,24000.0,Software Developer,No platform reported
842,USA,127000.0,Research & Education,No platform reported
844,USA,98000.0,Software Developer,Microsoft Azure
845,USA,90000.0,Management,No platform reported
847,France,53703.0,Software Developer,Amazon Web Services (AWS)
847,France,53703.0,Software Developer,Google Cloud
847,France,53703.0,Software Developer,Microsoft Azure
847,France,53703.0,Software Developer,Oracle Cloud Infrastructure (OCI)
