ResponseId,Age,Country_Normalized,ConvertedCompYearly,PlatformWantToWorkWith
30833,18-24 years old,USA,76000.0,No platform reported
30836,35-44 years old,New Zealand,107549.0,Amazon Web Services (AWS)
30836,35-44 years old,New Zealand,107549.0,Google Cloud
30836,35-44 years old,New Zealand,107549.0,Microsoft Azure
30839,25-34 years old,USA,133000.0,Cloudflare
30839,25-34 years old,USA,133000.0,Digital Ocean
30839,25-34 years old,USA,133000.0,OpenStack
30840,25-34 years old,Croatia,37592.0,No platform reported
30841,35-44 years old,USA,100000.0,No platform reported
30842,35-44 years old,Serbia,64444.0,No platform reported
30843,18-24 years old,Poland,81168.0,Amazon Web Services (AWS)
30843,18-24 years old,Poland,81168.0,Fly.io
30843,18-24 years old,Poland,81168.0,PythonAnywhere
30844,25-34 years old,Pakistan,13000.0,No platform reported
30845,18-24 years old,USA,75400.0,Amazon Web Services (AWS)
30845,18-24 years old,USA,75400.0,Digital Ocean
30845,18-24 years old,USA,75400.0,Microsoft Azure
30845,18-24 years old,USA,75400.0,Supabase
30845,18-24 years old,USA,75400.0,Vercel
30847,25-34 years old,USA,167000.0,Databricks
30847,25-34 years old,USA,167000.0,Google Cloud
30847,25-34 years old,USA,167000.0,Microsoft Azure
30849,25-34 years old,Poland,60.0,No platform reported
30850,18-24 years old,USA,60000.0,Firebase
30850,18-24 years old,USA,60000.0,Supabase
30853,25-34 years old,Uk,50955.0,No platform reported
30858,18-24 years old,Uk,91082.0,Microsoft Azure
30859,45-54 years old,Germany,65518.0,Microsoft Azure
30860,65 years or older,USA,145000.0,Amazon Web Services (AWS)
30863,25-34 years old,Belarus,305.0,No platform reported
30865,25-34 years old,USA,121000.0,No platform reported
30866,25-34 years old,New Zealand,73748.0,No platform reported
30867,25-34 years old,Germany,67666.0,Fly.io
30868,25-34 years old,Estonia,161109.0,Amazon Web Services (AWS)
30868,25-34 years old,Estonia,161109.0,Cloudflare
30869,18-24 years old,Brazil,4028.0,Amazon Web Services (AWS)
30869,18-24 years old,Brazil,4028.0,Microsoft Azure
30870,35-44 years old,USA,30000.0,Cloudflare
30870,35-44 years old,USA,30000.0,Vercel
30872,18-24 years old,Switzerland,76878.0,No platform reported
30875,35-44 years old,Canada,101770.0,No platform reported
30877,35-44 years old,USA,185000.0,No platform reported
30878,25-34 years old,Romania,79491.0,Amazon Web Services (AWS)
30878,25-34 years old,Romania,79491.0,Microsoft Azure
30879,45-54 years old,New Zealand,86654.0,Amazon Web Services (AWS)
30879,45-54 years old,New Zealand,86654.0,Cloudflare
30879,45-54 years old,New Zealand,86654.0,Microsoft Azure
30881,35-44 years old,Sweden,80000.0,Digital Ocean
30881,35-44 years old,Sweden,80000.0,Google Cloud
30884,25-34 years old,Lithuania,214812.0,Cloudflare
30884,25-34 years old,Lithuania,214812.0,Microsoft Azure
30885,35-44 years old,USA,130000.0,Microsoft Azure
30886,55-64 years old,New Zealand,91878.0,No platform reported
30887,25-34 years old,Austria,75184.0,No platform reported
30888,45-54 years old,Australia,116481.0,Amazon Web Services (AWS)
30889,18-24 years old,France,39740.0,Amazon Web Services (AWS)
30889,18-24 years old,France,39740.0,Cloudflare
30889,18-24 years old,France,39740.0,Databricks
30889,18-24 years old,France,39740.0,Google Cloud
